,Phi-3-medium-4k-instruct,Chocolatine-14B-Instruct-DPO-v1.2,Qwen2.5-32B,lambda-qwen2.5-32b-dpo-test,franqwenstein-35b,Yi-1.5-34B-Chat,qwen-carpmuscle-v0.1
77,1.0,0.7,0.5,0.5,1.0,0.7,0.8
78,0.5,0.9,0.3,1.0,1.0,0.9,1.0
79,0.5,0.9,0.7,0.8,1.0,0.8,0.7
80,0.8,0.9,0.9,1.0,1.0,0.6,0.8
81,0.6,0.4,0.7,0.5,1.0,0.4,0.9
82,0.9,0.4,1.0,0.6,1.0,0.5,1.0
83,0.4,0.8,0.5,1.0,0.8,0.5,0.6
84,0.7,0.6,1.0,1.0,1.0,0.8,0.9
85,1.0,1.0,1.0,1.0,0.9,1.0,0.5
86,0.8,0.8,1.0,0.6,1.0,0.9,0.8
87,0.9,0.7,0.7,1.0,0.7,1.0,1.0
88,0.9,0.9,0.9,1.0,0.9,0.5,1.0
89,0.5,0.8,0.9,0.4,0.9,0.7,0.6
90,0.7,0.8,0.9,0.6,1.0,0.4,0.8
91,0.8,0.8,0.9,0.5,1.0,0.9,1.0
92,0.8,0.6,1.0,0.9,1.0,0.9,1.0
93,1.0,1.0,1.0,1.0,1.0,0.9,1.0
94,0.7,0.9,0.4,0.6,1.0,0.8,0.7
