,Correct Answer,Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2,Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B,Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test,lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b,franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat,Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1,qwen-carpmuscle-v0.1 (Revised % Concordant)
60,D,E,0.6,B,0.7,A,1.0,D,1.0,D,1.0,D,0.6,C,1.0
61,C,C,0.7,E,1.0,C,0.9,F,0.9,F,1.0,A,0.5,D,0.5
62,E,E,0.6,A,0.5,D,1.0,B,0.5,E,1.0,D,0.5,B,1.0
63,D,A,0.6,B,0.6,B,0.5,D,0.4,C,1.0,E,0.8,A,1.0
64,D,B,0.9,C,0.9,D,1.0,D,0.6,E,0.7,C,0.6,D,0.6
65,B,D,0.8,B,0.8,C,0.8,C,1.0,A,1.0,C,0.3,C,1.0
66,C,B,1.0,A,0.5,C,1.0,A,0.5,E,1.0,A,0.6,C,1.0
67,C,C,0.3,E,0.7,C,1.0,G,0.9,G,1.0,F,0.8,D,0.8
68,A,B,0.5,D,1.0,B,0.8,D,0.7,E,1.0,C,1.0,B,0.7
69,D,E,0.9,D,0.7,A,1.0,D,0.8,E,1.0,A,0.5,E,0.4
70,C,E,0.9,C,1.0,B,0.9,D,0.5,D,1.0,A,0.6,A,0.9
71,D,H,0.8,E,0.6,F,0.6,G,0.9,D,1.0,E,0.9,B,1.0
72,C,D,0.3,C,0.8,C,0.7,C,1.0,E,1.0,B,0.9,A,0.9
73,D,B,1.0,A,0.9,D,0.7,A,0.8,E,1.0,B,0.5,B,0.6
74,E,B,0.5,A,0.6,C,0.7,D,0.6,E,0.8,D,0.5,D,0.7
75,B,C,0.7,B,0.8,A,1.0,B,0.7,C,0.7,C,0.9,C,1.0
76,B,G,0.6,B,1.0,C,0.9,G,0.6,E,0.6,F,0.8,E,0.6
77,E,A,1.0,C,0.7,A,0.5,D,0.5,E,1.0,B,0.7,A,0.8
78,E,E,0.5,E,0.9,A,0.3,E,1.0,E,1.0,C,0.9,C,1.0
79,D,B,0.5,A,0.9,A,0.7,B,0.8,E,1.0,B,0.8,B,0.7
80,E,E,0.8,A,0.9,B,0.9,E,1.0,E,1.0,D,0.6,A,0.8
81,A,E,0.6,A,0.4,C,0.7,C,0.5,E,1.0,B,0.4,C,0.9
82,E,B,0.9,A,0.4,E,1.0,E,0.6,F,1.0,C,0.5,F,1.0
83,C,E,0.4,E,0.8,B,0.5,C,1.0,E,0.8,E,0.5,A,0.6
84,E,C,0.7,E,0.6,E,1.0,E,1.0,F,1.0,F,0.8,D,0.9
85,B,D,1.0,A,1.0,A,1.0,B,1.0,E,0.9,E,1.0,E,0.5
86,D,E,0.8,A,0.8,D,1.0,E,0.6,E,1.0,D,0.9,D,0.8
87,D,D,0.9,A,0.7,D,0.7,D,1.0,A,0.7,B,1.0,C,1.0
88,E,E,0.9,C,0.9,D,0.9,E,1.0,B,0.9,C,0.5,C,1.0
89,B,A,0.5,A,0.8,B,0.9,C,0.4,D,0.9,A,0.7,A,0.6
90,F,D,0.7,A,0.8,D,0.9,B,0.6,D,1.0,B,0.4,D,0.8
91,A,C,0.8,E,0.8,B,0.9,B,0.5,E,1.0,D,0.9,E,1.0
92,E,D,0.8,B,0.6,C,1.0,C,0.9,E,1.0,E,0.9,A,1.0
93,A,E,1.0,D,1.0,C,1.0,E,1.0,E,1.0,D,0.9,C,1.0
94,D,A,0.7,E,0.9,A,0.4,E,0.6,A,1.0,B,0.8,C,0.7
