,Below Basic,Basic,Intermediate,Advanced
25,A 3-year-old boy has had a bulging left eye for 2 days. He says it hurts. He has never been really sick or hurt his eye area. He takes no medicine. His vital signs are normal. The doctor sees his left eye sticking out. An MRI shows a 2-cm mass in the left eye muscles. A biopsy shows cancer cells with lines. What is the most likely diagnosis?,"A 3-year-old boy comes to the office after 2 days of bulging in his left eye, which he says is painful. He has no major illnesses or injuries in that area and takes no medication. His vital signs are normal. The physical exam shows his left eye is bulging. MRI shows a 2-cm mass in the muscles of his left eye. A biopsy reveals cancer cells with striations. What is the most likely diagnosis?","A 3-year-old boy presents with a 2-day history of bulging in his left eye, accompanied by pain. There is no significant past medical history or recent trauma to the area, and he is not on any medications. His vital signs are normal. On examination, exophthalmos of the left eye is noted. An MRI reveals a 2-cm mass affecting the ocular muscles of the left eye. The biopsy shows malignant cells, some exhibiting striations. What is the most likely diagnosis?","A 3-year-old male patient arrives with a 2-day history of his left eye exhibiting bulging, associated with reported pain. There is an absence of significant medical history or recent trauma in the affected area, and he is currently not on medications. Vital signs are within normal ranges. Upon physical examination, exophthalmos of the left eye is observed. MRI of the brain identifies a 2-cm mass involving the ocular muscles of the left eye. A biopsy of this mass displays malignant cells, some with striations. What is the diagnosis most likely in this case?",
26,"A 18-year-old woman with sickle cell disease comes to the emergency department with her parents because she has had severe stomach pain and nausea for 2 hours. She ate a cheeseburger, milkshake, and chocolate bar for lunch. Her temperature is 37°C (98.6°F). Doctors find that her stomach is sore in the right upper area, and it hurts up to her right shoulder. An ultrasound shows gallstones. What is the most likely cause of her condition?","An 18-year-old woman with sickle cell disease is taken to the emergency department by her parents because she has had severe abdominal pain and nausea for 2 hours. Her parents report that she had a cheeseburger, milkshake, and chocolate bar for lunch. Her body temperature is 37°C (98.6°F). Physical examination reveals tenderness in the right upper quadrant of her abdomen and pain that extends to her right shoulder. An ultrasound shows gallstones there. What might be the most likely cause of her current condition?","An 18-year-old woman with sickle cell disease is taken to the emergency department by her parents due to a 2-hour history of severe abdominal pain and nausea. According to her parents, she had a cheeseburger, milkshake, and chocolate bar for lunch. Her temperature is recorded at 37°C (98.6°F). A physical exam reveals tenderness over the right upper quadrant of her abdomen, radiating to her right shoulder. Ultrasound imaging of this area shows the presence of gallstones. What could be the most likely underlying cause of this patient's current condition?","An 18-year-old woman with sickle cell disease arrives at the emergency department with her parents, presenting with a 2-hour history of intense abdominal pain and nausea. Her parents mention she had a cheeseburger, milkshake, and chocolate bar for lunch. She has a temperature of 37°C (98.6°F). Physical examination indicates tenderness in the right upper quadrant of the abdomen, radiating to the right shoulder. Ultrasonography of this region reveals gallstones. What is the most likely underlying cause of this patient's current condition?",
27,"In a group of 100 people, the average leukocyte count is 7500/mm3, and the standard deviation is 1000/mm3. If these counts are normally distributed, about 50% of the people will have which leukocyte counts?","In a sample of 100 individuals, the average leukocyte count is 7500/mm3 with a standard deviation of 1000/mm3. Assuming the leukocyte counts are normally distributed, approximately 50% of individuals will have which total leukocyte counts?","Within a sample of 100 individuals having an average leukocyte count of 7500/mm3 and a standard deviation of 1000/mm3, if the leukocyte counts follow a normal distribution, around 50% of the individuals will exhibit which leukocyte counts?","In a sample of 100 individuals, where the mean leukocyte count is 7500/mm3 and the standard deviation is 1000/mm3, assuming a normal distribution for the leukocyte counts, approximately 50% of these individuals will have what specific range of leukocyte counts?",
28,"A 52-year-old woman has been feeling tired, has constipation, and urinates a lot for 2 months. Her temperature is 37.1°C, pulse is 80 per minute, and blood pressure is 140/90 mm Hg. The doctor hears crackles in her lungs. Her blood shows high calcium levels and low parathyroid hormone levels. A chest x-ray shows lymph node growth and infiltrates in the lungs. What is probably causing her high calcium?","A 52-year-old woman visits her doctor after 2 months of fatigue, constipation, and frequent urination. Her temperature is 37.1°C, pulse is 80 per minute, and blood pressure is 140/90 mm Hg. Crackles are heard in both lungs. Tests show her blood calcium is 11.1 mg/dL, but parathyroid hormone is low. Her chest x-ray reveals bilateral hilar lymphadenopathy and interstitial infiltrates. What is the most likely cause of her high calcium levels?","A previously healthy 52-year-old woman sees her physician due to 2 months of fatigue, constipation, and frequent urination. Her vital signs include a temperature of 37.1°C, pulse of 80/min, respiratory rate of 14/min, and blood pressure of 140/90 mm Hg. Diffuse crackles are noted in her lungs. Test results show a serum calcium concentration of 11.1 mg/dL and decreased serum parathyroid hormone. A chest x-ray identifies bilateral hilar lymphadenopathy and interstitial infiltrates. Which factor is most likely causing her hypercalcemia?","A 52-year-old woman with no prior health issues presents with a 2-month history of fatigue, constipation, and frequent urination. She has a temperature of 37.1°C, pulse rate of 80/min, respiration rate of 14/min, and blood pressure of 140/90 mm Hg. Diffuse bilateral lung crackles are present. Serum tests indicate a calcium level of 11.1 mg/dL and low parathyroid hormone concentration. Her chest x-ray shows bilateral hilar lymphadenopathy with interstitial infiltrates. What is the most likely etiology of her hypercalcemia?",
29,"A 24-year-old woman had a car accident a month ago. She can't walk and her hands are weak. Her hand muscles are smaller, and her legs have increased muscle tone when moved passively. Her biceps and triceps reflexes are normal, but knee and ankle reflexes are increased. Babinski sign is positive in both feet. She can't feel pinpricks at or below her clavicles. Which spinal cord level has the problem?",A 24-year-old woman went to a doctor 1 month after a car accident. She is weak and can't walk. Her physical exam shows weak hands and muscle loss in hand muscles. Both legs have increased muscle tone on passive movement. Reflexes are normal in her biceps and triceps but are increased at her knees and ankles. A positive Babinski sign is seen on both sides. She can't feel pinpricks at and below her clavicles. Where is the problem in her spinal cord?,"A 24-year-old woman visits her physician one month following a motor vehicle accident. She is experiencing weakness and cannot walk. Physical examination reveals weakness and muscle wasting in both hands, along with increased muscle tone in the legs during passive movement. Her biceps and triceps reflexes are normal, while knee and ankle reflexes are increased. There is a positive Babinski sign bilaterally. She lacks sensation to pinpricks at or below the clavicles. Where is the lesion in the spinal cord likely to be?","A 24-year-old woman presents to the physician one month post-motor vehicle collision, exhibiting weakness and inability to walk. Examination reveals bilateral weakness and atrophy of intrinsic hand muscles, increased muscle tone in lower extremities on passive range of motion, normal deep tendon reflexes at biceps and triceps, increased reflexes at knees and ankles, and bilateral Babinski sign. Sensation to pinprick is absent at and below clavicle level. Which spinal cord level is the lesion most likely located in?",
30,"A 45-year-old man comes to the emergency room 30 minutes after feeling sudden, strong chest pain. His dad, aunt on his mom's side, and uncle on his dad's side died of heart attacks before they turned 50. When the doctor examines him, they see lumpy growths on his hands and thick Achilles tendons. Blood tests show his cholesterol is 410 mg/dL, HDL is 30 mg/dL, and triglycerides are 140 mg/dL. He is found to have a heart attack. What is this patient likely lacking?","A 45-year-old man arrives at the emergency department 30 minutes after experiencing sudden and intense chest pain. His father, mother's sister, and father's brother all died from heart attacks before reaching 50 years old. Physical examination reveals tendinous xanthomas on his hands and thickened Achilles tendons. His blood test results show a total cholesterol level of 410 mg/dL, HDL cholesterol of 30 mg/dL, and triglycerides of 140 mg/dL. He is diagnosed with a heart attack. Which deficiency is this patient likely to have?","A 45-year-old man is brought to the emergency department 30 minutes following the abrupt onset of severe chest pain. His father, maternal aunt, and paternal uncle all succumbed to myocardial infarctions before the age of 50. Physical examination reveals tendinous xanthomas on the hands and thickened Achilles tendons. Laboratory studies indicate a total cholesterol concentration of 410 mg/dL, an HDL cholesterol level of 30 mg/dL, and triglycerides at 140 mg/dL. A myocardial infarction is diagnosed. This patient likely has a deficiency in which of the following?","A 45-year-old man presents to the emergency department 30 minutes after the acute onset of crushing chest pain. His father, maternal aunt, and paternal uncle all died of myocardial infarctions before reaching the age of 50. Physical examination reveals the presence of tendinous xanthomas on the hands and thickened Achilles tendons. Serum lipid analysis shows a total cholesterol concentration of 410 mg/dL, HDL-cholesterol concentration at 30 mg/dL, and triglyceride levels at 140 mg/dL. The patient is diagnosed with a myocardial infarction. Which deficiency is this patient most likely to have?",
31,"A 19-year-old man, who seemed healthy before, fainted 30 minutes ago while playing softball. He had severe, sharp pain in his upper back before the game. He is 196 cm (6 ft 5 in) tall. His temperature is 37°C (98.6°F), pulse is 130 per minute, breathing rate is 24 per minute, and blood pressure is 80/50 mm Hg. When examined, his skin looks pale, and his neck veins are not swollen. He has clear breath sounds. The pulses in his neck are weak. A loud heart murmur is heard at the lower left side of his chest. What could be causing these heart problems?","A previously healthy 19-year-old man collapsed while playing softball and was brought to the emergency room 30 minutes later. He had severe, sharp pain in his upper back before the game. He is 196 cm (6 ft 5 in) tall. His temperature is 37°C (98.6°F), pulse is 130 beats per minute, respiration rate is 24 breaths per minute, and blood pressure is 80/50 mm Hg. Physical exam shows pallor and no swelling in the jugular veins. Breath sounds are clear, but his carotid pulses are weak. A loud heart murmur of grade 4/6 is noted at the lower left sternal border. What is most likely causing this patient's heart findings?","A 19-year-old male, previously in good health, was brought to the emergency department 30 minutes after collapsing during a softball game. He experienced severe, sharp pain in his upper back before playing. He measures 196 cm (6 ft 5 in) in height. His temperature reads 37°C (98.6°F), his pulse is 130 beats per minute, respirations are 24 per minute, and his blood pressure is 80/50 mm Hg. On examination, he shows pallor and lacks jugular venous distention. Breath sounds are clear, but carotid pulses are weak. A grade 4/6 late diastolic murmur is audible at the lower left sternal border. What is the primary cause of these cardiac manifestations?","A previously healthy 19-year-old man is brought into the emergency department 30 minutes post-collapse during a softball game. Prior to playing, he experienced sharp, severe pain in his upper back. His height is 196 cm (6 ft 5 in). Vital signs are as follows: temperature 37°C (98.6°F), pulse at 130/min, respirations at 24/min, blood pressure recorded at 80/50 mm Hg. Physical examination reveals pallor and absence of jugular venous distention. Lung auscultation notes clear breath sounds, while carotid pulsations are faint. A grade 4/6 late diastolic murmur is detected along the lower left sternal border. What condition most plausibly underlies this patient’s cardiac findings?",
32,"A 27-year-old woman is in the emergency department. For 2 weeks, she has had double vision. When she looks to the right, her left eye doesn't move past the middle. Looking left is normal for her. Damage to what might cause her eye movement issue?","A 27-year-old woman comes to the emergency department with 2 weeks of double vision. In an exam, when she looks to the right, her left eye doesn't move past the middle. But, looking to the left is normal. Which structure is likely damaged and causing this eye problem?","A 27-year-old woman is at the emergency department due to experiencing double vision for 2 weeks. A neurologic examination shows her left eye cannot adduct past the midline when she looks to the right, though leftward gaze is normal. Which structure is probably damaged, causing this ocular movement issue?","A 27-year-old woman presents to the emergency department with a 2-week history of double vision. Upon neurologic examination, it is noted that her left eye fails to adduct past the midline on rightward horizontal gaze, while her leftward horizontal gaze remains normal. Damage to which of the following structures is most likely responsible for her ocular movement deficit?",
33,"An 11-year-old girl comes to the emergency room with her parents. Her breasts have been growing for 1 week. She doesn't have pain or nipple discharge. She uses an inhaler for asthma. She doesn't smoke, drink, or use drugs. She is average height and weight. Her vital signs are normal. Her breasts show small changes with no discharge and no lumps. She has a little pubic hair. What describes her sexual maturity stage?","An 11-year-old girl is taken to the emergency department by her parents due to 1 week of breast enlargement. She does not have pain or nipple discharge. She uses inhaled albuterol for her asthma when needed. She doesn't smoke, drink alcohol, or use drugs. She is at the 50th percentile for height and weight. Her vital signs are normal. The breast exam shows minimal enlargement and no nipple discharge or masses. She has a small amount of pubic hair. What describes her sexual maturity rating?","An 11-year-old girl is brought by her parents to the emergency department due to breast enlargement for 1 week. She has no pain or discharge from the nipples. Her asthma is treated with inhaled albuterol as necessary. She does not smoke, drink alcohol, or use illicit drugs. Her height and weight are at the 50th percentile. Vital signs are normal. Breast examination shows slight enlargement under the areolae and widened areolae without discharge or masses. She has minimal pubic hair. Which option best describes her sexual maturity rating?","An 11-year-old girl is presented at the emergency department by her parents with a 1-week history of breast enlargement. She experiences no pain or nipple discharge. Her asthma is managed with inhaled albuterol as needed. She abstains from smoking, alcohol, and illicit drug use. Her height and weight are at the 50th percentile. Vital signs are stable. An examination reveals modest enlargement beneath the areolae and increased areolae diameter without discharge or detectable masses. There is minimal pubic hair presence. Which statement best assesses her sexual maturity rating?",
34,"A 5-year-old boy goes to the emergency room because of a bloody stool 3 hours ago. His mom says the stool was like pebbles and had bright red blood on the tissue. His last bowel movement was 5 days ago. He doesn’t have stomach or rectal pain now, but he did 5 days ago during a bowel movement. He has no major illnesses or medications. Vaccinations are up-to-date. No recent travel. He is at the 5th percentile for height and 10th for weight; BMI is at the 50th percentile. His vital signs are normal. The abdomen is slightly distended and not painful. In a rectal exam, 1 cm of bright red tissue sticks out from the anus, but no rectal bleeding. Everything else is normal. What is the most likely cause of this?","A 5-year-old boy was brought to the emergency room by his mom after having a bloody stool 3 hours ago. The mom describes the stool as hard like pebbles and noticed bright red blood on the tissue. His last bowel movement was 5 days ago, and he had abdominal pain during it. Currently, he has no abdominal or rectal pain. He has no significant medical history and is not on any medications. His vaccinations are current. He has not traveled recently. He is in the 5th percentile for height and 10th for weight, with a BMI at the 50th percentile. His vital signs are normal. During an abdominal exam, he shows hypoactive bowel sounds with a slightly distended abdomen that is not tender. A rectal exam reveals 1 cm of bright red mucosa protruding from the anus on the right side, but there is no rectal bleeding. No abnormalities were found elsewhere. What is the most likely cause of these physical findings?","A 5-year-old boy is taken to the emergency department by his mother after passing a bloody stool 3 hours earlier. The mother describes the stool as being hard, like pebbles, and observed bright red blood on the tissue when her son wiped himself. The boy's last bowel movement was 5 days ago, during which he experienced abdominal pain. Currently, he reports no abdominal or rectal pain. He has no history of significant medical conditions or medication use, and his vaccinations are up-to-date. There has been no recent travel. He stands in the 5th percentile for height and the 10th percentile for weight, with a BMI in the 50th percentile range. His vital signs remain normal. An abdominal exam reveals hypoactive bowel sounds and a non-tender, mildly distended belly. During a rectal exam, 1 cm of bright red rectal mucosa is seen protruding from the right side of the anus, but there is no rectal bleeding. The rest of the examination is unremarkable. What might be the most likely cause of this boy's physical findings?","A 5-year-old boy presents to the emergency department with his mother due to an episode of bloody stool noted 3 hours prior. The mother reports the stool had a pebble-like hardness and there was bright red blood on the tissue when the patient wiped. His last bowel movement was 5 days ago, during which he experienced abdominal discomfort. Currently, he denies any abdominal or rectal pain. He has no past medical history of significance, is not on any medications, and his vaccinations are current. He has no recent travel history. He measures at the 5th percentile for height and the 10th percentile for weight, with his BMI at the 50th percentile. Vital signs remain within normal parameters. Physical examination of the abdomen reveals hypoactive bowel sounds and a soft, mildly distended abdomen with no tenderness upon palpation. Rectal examination shows 1 cm of bright red rectal mucosa extending from the right side of the anus, without accompanying rectal bleeding. No other abnormalities are observed. What is the most probable cause of these clinical findings?",
35,"A 25-year-old woman has fever, chills, headache, weakness, muscle pain, vomiting, and diarrhea for 3 days. She is in nursing school and came back from West Africa 10 days ago. The symptoms started while she was at a supermarket. Her temperature is 39.0°C (102.2°F), pulse 100/min, respirations 22/min, and blood pressure 110/70 mm Hg. She looks sick and has breathing trouble. The exam shows poor skin turgor and active bowel sounds. Muscle strength is 4/5. Tests show low white blood cells and platelets. What test do we use to find the suspected virus in her?","A 25-year-old nursing student has had fever, chills, severe headache, weakness, muscle pain, nausea, vomiting, diarrhea, and abdominal pain for 3 days. She returned 10 days ago from a medical missions trip to West Africa. Her symptoms began suddenly while shopping in a supermarket. She has a temperature of 39.0°C (102.2°F), a pulse of 100/min, respirations at 22/min, and blood pressure of 110/70 mm Hg. She appears unwell and in mild respiratory distress. Physical exam shows poor skin turgor and hyperactive bowel sounds. Her muscle strength is 4/5. Lab tests reveal leukopenia and thrombocytopenia. Which test is the most sensitive and specific for detecting the suspected virus genome?","A 25-year-old woman presents with a 3-day history of fever, chills, severe headache, weakness, myalgia, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. Attending nursing school, she returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly post-return while shopping in a supermarket. Her temperature is 39.0°C (102.2°F), with a pulse of 100/min, respirations at 22/min, and blood pressure of 110/70 mm Hg. She appears ill and shows mild respiratory distress. Physical examination reveals poor skin turgor and hyperactive bowel sounds, with muscle strength at 4/5. Laboratory findings show leukopenia and thrombocytopenia. What is the most sensitive and specific test to detect the suspected viral genome in this patient?","A 25-year-old woman arrives at the clinic with a 3-day history of fever, chills, severe headache, weakness, muscle pain, anorexia, vomiting, diarrhea, and moderate abdominal pain. A nursing student, she recently returned from a medical missions trip to West Africa 10 days ago. The symptoms developed suddenly while grocery shopping shortly after her return. Her vital signs include a temperature of 39.0°C (102.2°F), a pulse of 100/min, respirations at 22/min, and a blood pressure reading of 110/70 mm Hg. She appears significantly unwell and exhibits mild respiratory distress. Physical examination highlights poor skin turgor and markedly hyperactive bowel sounds, with muscle strength assessed at 4/5. Laboratory studies indicate leukopenia and thrombocytopenia. Which diagnostic test would be the most sensitive and specific in detecting the viral genome suspected in this case?",
36,"A 5-month-old boy comes to the clinic with his mom. He has been coughing for 10 days. The cough happens several times a day and lasts 1 to 2 minutes. After coughing, he often vomits. He doesn't have any major illness and takes no medications. He's never had a check-up or vaccinations. He looks well and his vitals are normal. During the exam, he coughs hard for 2 minutes and then vomits. His lungs are clear. What kind of drug is best for him?","A 5-month-old boy is brought to the clinic by his mother. He has been coughing spells for 10 days, happening a few times each day, lasting 1-2 minutes, and he often vomits after. Delivered at term from an uncomplicated pregnancy, his 16-year-old mother had him in Mexico. No major medical issues or medications, he has not been for check-ups or received vaccinations. Vital signs are normal, and his lungs have no wheezes or crackles. During the exam, he coughs hard for 2 minutes, followed by vomiting. What drug class is appropriate for him?","A 5-month-old boy is brought to the clinic because of coughing spells over the past 10 days. These episodes occur multiple times daily, last 1 to 2 minutes, and frequently lead to vomiting. Born to a 16-year-old mother in Mexico after an uncomplicated pregnancy and delivery, he has no significant medical history and hasn't received vaccinations or check-ups. His vital signs are normal, and lung examination shows no wheezes or crackles. During the exam, he coughs continuously for 2 minutes, then vomits. Which class of drug is most suitable for this case?","A 5-month-old boy is presented to the clinic by his mother due to a 10-day history of several daily episodes of coughing spells lasting 1 to 2 minutes, often resulting in vomiting. He was born at term to a 16-year-old gravida 1, para 1, following an uncomplicated pregnancy and delivery in Mexico. The family moved to the USA shortly after. He has no significant medical history, is on no medications, and hasn't attended a well-child exam or received vaccinations. His vital signs are normal with clear lungs, free from wheezes or crackles. During examination, he coughs uncontrollably for 2 minutes and subsequently vomits. Which drug class is most appropriate for this patient?",
37,"A 40-year-old woman gets a runny nose, sneezing, and itchy eyes when she is around cats. She has had this since she was a child. Antiallergy drugs do not help her. But when she uses a treatment that gives her more and more of what makes her allergic, she feels better. How does this treatment work?","A 40-year-old woman experiences a runny nose, sneezing, and itchy eyes when exposed to cats. She has had these symptoms since childhood, and antiallergy drugs have not worked for her. Her symptoms get better when she follows a desensitization program where she receives increasing doses of the allergen. What is the most likely reason this treatment is effective?","A 40-year-old woman has been suffering from a runny nose, sneezing, and itchy eyes whenever she encounters cats since she was a child. Antiallergy medications have not helped relieve her symptoms. However, her condition improves with a desensitization program that administers increasing doses of the allergen. What is the most likely mechanism behind the positive effect of this treatment?","A 40-year-old woman reports chronic symptoms of a runny nose, sneezing, and itching eyes upon exposure to cats, persisting since her childhood. Despite using antiallergy medications, she finds no relief. However, her symptoms ameliorate with a desensitization regimen involving the administration of progressively larger doses of the allergen. Which mechanism is most likely responsible for the beneficial effects of this treatment?",
38,"A 3-week-old girl who was born on time without problems is brought to the doctor by her mother. The mother says the girl has had yellow eyes and skin, tan-colored stools, and dark brown urine for 1 week. The baby is breastfeeding well. She is awake and not in any distress. She is at the 50th percentile for length and weight. The doctor finds yellowing of the eyes and skin, and a slightly enlarged liver. The spleen cannot be felt. The lab results are: Hemoglobin 14.4 g/dL, Hematocrit 43%, White blood cell count 8000/mm3, Serum Albumin 3.5 g/dL, Total Bilirubin 14 mg/dL, Direct Bilirubin 12.5 mg/dL, AST 50 U/L, ALT 45 U/L. What is the most likely diagnosis?","A 3-week-old girl who was delivered at term and had no complications is brought to the doctor by her mother. The mother reports a 1-week history of yellow eyes and skin, tan-colored stools, and dark brown urine. The newborn has been breastfeeding without difficulty. She is alert and appears to be in no distress. She measures at the 50th percentile for length and weight. On exam, there is yellowing of the eyes and skin, and the liver is slightly enlarged, but the spleen is not palpable. Lab results are: Hemoglobin 14.4 g/dL, Hematocrit 43%, Leukocyte count 8000/mm3, Serum Albumin 3.5 g/dL, total Bilirubin 14 mg/dL, Direct Bilirubin 12.5 mg/dL, AST 50 U/L, ALT 45 U/L. What is the most likely diagnosis?","A 3-week-old girl, born at term with no complications, is brought to the physician by her mother due to a 1-week history of yellow eyes and skin, tan-colored stools, and dark brown urine. The newborn has been breastfeeding well without any difficulty. She is alert and appears to be in no distress and is at the 50th percentile for length and weight. Physical examination reveals scleral icterus and jaundice, with mild hepatomegaly; the spleen is not palpable. Laboratory studies indicate: Hemoglobin 14.4 g/dL, Hematocrit 43%, Leukocyte count 8000/mm3, Serum Albumin 3.5 g/dL, total Bilirubin 14 mg/dL, Direct Bilirubin 12.5 mg/dL, AST 50 U/L, ALT 45 U/L. What is the most likely diagnosis?","A 3-week-old girl, delivered at term without complications, is brought to the physician by her mother who reports a 1-week history of jaundice, characterized by yellow eyes and skin, along with tan-colored stools and dark brown urine. The newborn has been breastfeeding without difficulty and remains alert and in no distress. She holds steady at the 50th percentile for both length and weight. The physical examination confirms scleral icterus and jaundice, accompanied by mild hepatomegaly; the spleen is not palpable. Laboratory findings show Hemoglobin 14.4 g/dL, Hematocrit 43%, Leukocyte count 8000/mm3, Serum Albumin 3.5 g/dL, with elevated total Bilirubin of 14 mg/dL and Direct Bilirubin of 12.5 mg/dL, AST 50 U/L, ALT 45 U/L. What is the most likely diagnosis?",
39,"A 65-year-old woman visits her doctor again for a follow-up check because her blood pressure was 175/105 mm Hg and 185/110 mm Hg, 1 and 3 weeks ago. She has type 2 diabetes under control. Her current blood pressure is 175/110 mm Hg. The physical exam shows no other problems. They start her on blood pressure medicine, but it stays high when she comes back 3 weeks later. Lab tests show high plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are normal. An angiography finds a severe blockage in the right renal artery; the left renal artery looks normal. What is the most likely diagnosis?","A 65-year-old woman returns to the doctor for a follow-up because she had blood pressure readings of 175/105 mm Hg and 185/110 mm Hg, 1 and 3 weeks ago. Her type 2 diabetes is well-controlled. Now her blood pressure is still high at 175/110 mm Hg. The physical examination shows no other issues. She starts antihypertensive medication, but her blood pressure stays high at her next visit 3 weeks later. Lab results show increased plasma renin activity, and her erythrocyte sedimentation rate and serum electrolytes are normal. Angiography reveals a high-grade narrowing of the right renal artery, while the left renal artery is normal. What is the most likely diagnosis?","A 65-year-old woman is seen for a follow-up exam after earlier blood pressure readings were 175/105 mm Hg and 185/110 mm Hg, 1 and 3 weeks ago. She manages her type 2 diabetes well. Currently, her blood pressure is 175/110 mm Hg. The physical examination reveals no other abnormalities. Even after starting antihypertensive therapy, her blood pressure stays high at her next visit 3 weeks later. Laboratory studies indicate elevated plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are within normal limits. Angiography shows significant stenosis in the proximal right renal artery, while the left renal artery appears unaffected. What is the most likely diagnosis?","A 65-year-old woman presents for a follow-up evaluation after her previous blood pressure measurements were 175/105 mm Hg and 185/110 mm Hg, recorded 1 and 3 weeks earlier. Her type 2 diabetes is under well control. At present, her blood pressure is 175/110 mm Hg. The physical examination reveals no additional abnormalities. Despite initiating antihypertensive therapy, her blood pressure remains elevated at her next appointment 3 weeks subsequently. Laboratory investigations demonstrate increased plasma renin activity, while her erythrocyte sedimentation rate and serum electrolytes remain within normal parameters. Angiographic imaging identifies a high-grade stenosis of the proximal right renal artery, with the left renal artery appearing normal. What is the most likely diagnosis?",
40,"A 46-year-old woman feels tired, weak, and has a fast heartbeat for 1 month. She has bad kidney disease because she used pain medicine for her back pain a lot. She controls her high blood pressure with three medicines. She has stomach problems and bleeding in her stools. She is not feeling very sick right now. Her temperature is 98.2°F, pulse is 74, breaths are 14, and blood pressure is 150/86. When the doctor presses on her belly, it hurts a little, and her legs have some swelling. Her heart makes a special sound. Her stool test shows blood. Blood tests show: Hemoglobin 8.8, Hematocrit 26.8%, Mean cell volume 82, Ferritin 262, Folate 284, Iron 60, Transferrin 22%, Lactate 62. What is the most likely reason for her anemia?","A 46-year-old woman goes to the doctor because she's been feeling tired, weak, and her heart beats fast for 1 month. She has kidney disease from using pain medicine for back pain. Her high blood pressure is controlled with a diuretic, a beta-blocker, and a calcium channel blocker. She has a history of stomach and hemorrhoid problems with blood in her stools. She is not in acute distress. Her temperature is 98.2°F, pulse is 74/min, respirations are 14/min, and blood pressure is 150/86 mm Hg. Physical exam shows mild belly tenderness when touched and 2+ leg swelling. The heart exam reveals an S4 gallop. Stool tests show blood. Lab results: Hemoglobin 8.8 g/dL, Hematocrit 26.8%, Mean corpuscular volume 82 μm3, Ferritin 262 ng/mL, Folate 284 ng/mL, Iron 60 μg/dL, Transferrin saturation 22%, Lactate dehydrogenase 62 U/L. What is the most likely cause of her anemia?","A 46-year-old woman visits her physician due to a 1-month history of fatigue, weakness, and palpitations. She has kidney disease from prolonged use of painkillers for back pain and controls her hypertension with a loop diuretic, a beta-blocker, and a calcium channel blocker. She also has a history of gastritis and hemorrhoids, with blood in her stools. She is not in acute distress. Her vital signs show: temperature 36.8°C (98.2°F), pulse 74/min, respirations 14/min, and blood pressure 150/86 mm Hg. On examination, there is mild tenderness in the midepigastric area and 2+ edema in the legs. The cardiac exam reveals an S4 gallop. A stool test is positive for occult blood. Lab studies show: Hemoglobin 8.8 g/dL, Hematocrit 26.8%, Mean corpuscular volume 82 μm3, Ferritin 262 ng/mL, Folate 284 ng/mL, Total iron 60 μg/dL, Transferrin saturation 22%, Lactate dehydrogenase 62 U/L. What is the most likely cause of this patient's anemia?","A 46-year-old woman presents with a 1-month history of fatigue, weakness, and palpitations. She has advanced kidney disease resulting from chronic use of combination analgesics for low back pain, and her hypertension is managed with a loop diuretic, a β-adrenergic blocker, and a dihydropyridine calcium channel blocker. She has a history of gastritis and hemorrhoids with occult blood in stools. Not in acute distress, her temperature is 36.8°C (98.2°F), pulse 74, respirations 14, and blood pressure 150/86 mm Hg. Physical examination reveals mild midepigastric tenderness and 2+ lower extremity edema. Cardiac assessment shows an S4 gallop. Stool test results are positive for occult blood. Laboratory investigations reveal: Hemoglobin 8.8 g/dL, Hematocrit 26.8%, Mean corpuscular volume 82 μm3, Serum ferritin 262 ng/mL, Folate 284 ng/mL (N=150–450), Total iron 60 μg/dL, Transferrin saturation 22% (N=20%–50%), and Lactate dehydrogenase 62 U/L. What is the most likely cause of this patient's anemia?",
