,en,es,ar,cs,de,id,ko,ja,lv,nl,it
10,"[0.3595412075519562, 0.24356724321842194, 0.11461431533098221, 0.08692371845245361, 0.06894224137067795, 0.06362787634134293, 0.06278345733880997]","[0.3383210301399231, 0.15596769750118256, 0.12794998288154602, 0.1165255606174469, 0.09783021360635757, 0.09540507942438126, 0.06800046563148499]","[0.39002087712287903, 0.15084876120090485, 0.12806250154972076, 0.09930845350027084, 0.0876365602016449, 0.07970265299081802, 0.06442016363143921]","[0.3420514464378357, 0.1666785627603531, 0.141341894865036, 0.10003380477428436, 0.09531710296869278, 0.08221692591905594, 0.07236027717590332]","[0.36465248465538025, 0.1470976173877716, 0.12879535555839539, 0.1067521944642067, 0.10051266849040985, 0.08585038781166077, 0.06633927673101425]","[0.30148017406463623, 0.1784159541130066, 0.135586678981781, 0.1269291639328003, 0.10668811947107315, 0.10004067420959473, 0.05085920915007591]","[0.3440840244293213, 0.17033882439136505, 0.12030857056379318, 0.11420170962810516, 0.09817436337471008, 0.08192861080169678, 0.07096391916275024]","[0.40281033515930176, 0.14998960494995117, 0.12200943380594254, 0.0928397998213768, 0.08061547577381134, 0.07949510961771011, 0.07224030047655106]","[0.2791891396045685, 0.26363638043403625, 0.16855503618717194, 0.10564524680376053, 0.09050572663545609, 0.04673061519861221, 0.04573782533407211]","[0.3839777708053589, 0.14591383934020996, 0.113664910197258, 0.10578247159719467, 0.1006423830986023, 0.08766915649175644, 0.06234943866729736]","[0.35502272844314575, 0.14730466902256012, 0.12918901443481445, 0.11413814127445221, 0.08981697261333466, 0.0886356458067894, 0.07589279860258102]"
11,"[0.3413578271865845, 0.19463472068309784, 0.1811302900314331, 0.1566345989704132, 0.07264219969511032, 0.05360035598278046]","[0.36382460594177246, 0.3317004144191742, 0.12984111905097961, 0.1167040467262268, 0.03420569375157356, 0.023724159225821495]","[0.2528603672981262, 0.25271838903427124, 0.22367477416992188, 0.17177483439445496, 0.0639132410287857, 0.035058390349149704]","[0.2534158527851105, 0.2274995595216751, 0.19921287894248962, 0.19358359277248383, 0.06836367398500443, 0.05792451277375221]","[0.2503601908683777, 0.2308201938867569, 0.22884425520896912, 0.19722585380077362, 0.04857755824923515, 0.04417194426059723]","[0.3483779728412628, 0.29417529702186584, 0.14606477320194244, 0.11496835201978683, 0.05623972415924072, 0.04017382860183716]","[0.4602087140083313, 0.19989192485809326, 0.1424010545015335, 0.11349877715110779, 0.04459464177489281, 0.03940488398075104]","[0.2568782866001129, 0.24491797387599945, 0.18249094486236572, 0.146164670586586, 0.09212680160999298, 0.07742133736610413]","[0.2526986002922058, 0.2261197865009308, 0.20461483299732208, 0.20390655100345612, 0.06632040441036224, 0.04633983224630356]","[0.3698417544364929, 0.25857505202293396, 0.18656478822231293, 0.09129726141691208, 0.054348673671483994, 0.039372511208057404]","[0.3700754940509796, 0.2290150225162506, 0.2035790979862213, 0.10940558463335037, 0.050119154155254364, 0.03780566155910492]"
12,"[0.46260902285575867, 0.17958959937095642, 0.13898389041423798, 0.1251470148563385, 0.078648142516613, 0.015022331848740578]","[0.2551165223121643, 0.23143184185028076, 0.13906075060367584, 0.1366640031337738, 0.12070313096046448, 0.11702363193035126]","[0.327705442905426, 0.2096886783838272, 0.1762162297964096, 0.10898327827453613, 0.09831847250461578, 0.07908795028924942]","[0.3060261905193329, 0.23956307768821716, 0.14144565165042877, 0.12330590933561325, 0.11637431383132935, 0.0732848048210144]","[0.28096818923950195, 0.2016584575176239, 0.1808347851037979, 0.16409780085086823, 0.09544949233531952, 0.07699130475521088]","[0.2828562557697296, 0.19373539090156555, 0.17299382388591766, 0.13600589334964752, 0.1250757873058319, 0.08933275192975998]","[0.2550060749053955, 0.22562530636787415, 0.1377301961183548, 0.13526244461536407, 0.1262100785970688, 0.12016594409942627]","[0.2642817795276642, 0.21039919555187225, 0.2054435908794403, 0.1351654976606369, 0.10307511687278748, 0.08163483440876007]","[0.25834333896636963, 0.23278380930423737, 0.17037762701511383, 0.15667179226875305, 0.09397614002227783, 0.0878472849726677]","[0.25654035806655884, 0.22999528050422668, 0.1614348441362381, 0.12332192808389664, 0.11977075785398483, 0.10893683135509491]","[0.28754952549934387, 0.22370772063732147, 0.16294744610786438, 0.1426474004983902, 0.09232433140277863, 0.09082356840372086]"
13,"[0.5748685598373413, 0.22205321490764618, 0.10112833976745605, 0.05958440899848938, 0.027180293574929237, 0.015185236930847168]","[0.897719144821167, 0.04671564698219299, 0.022464251145720482, 0.014888247475028038, 0.01275875885039568, 0.005453947931528091]","[0.9294685125350952, 0.025621507316827774, 0.019557487219572067, 0.014856575056910515, 0.009396017529070377, 0.001099880551919341]","[0.914177656173706, 0.03731290623545647, 0.0202154703438282, 0.017563387751579285, 0.008732416667044163, 0.001998133258894086]","[0.8847982883453369, 0.050164204090833664, 0.02323300763964653, 0.016437679529190063, 0.013023266568779945, 0.01234353519976139]","[0.9000192880630493, 0.03328225016593933, 0.023178452625870705, 0.02188706584274769, 0.02071601338684559, 0.0009169686236418784]","[0.8939894437789917, 0.035273194313049316, 0.0295387152582407, 0.020759746432304382, 0.018493741750717163, 0.0019451593980193138]","[0.9041844010353088, 0.0355575829744339, 0.026394886896014214, 0.021817388013005257, 0.009732014499604702, 0.0023137482348829508]","[0.9335238337516785, 0.02180980145931244, 0.017872951924800873, 0.013746103271842003, 0.012720415368676186, 0.0003269470762461424]","[0.9114351868629456, 0.03804802522063255, 0.019609274342656136, 0.016857130452990532, 0.011595949530601501, 0.0024544398766011]","[0.9183138012886047, 0.029031358659267426, 0.021586209535598755, 0.021348094567656517, 0.009030184708535671, 0.000690370739903301]"
14,"[0.45197370648384094, 0.17295736074447632, 0.14443619549274445, 0.11374993622303009, 0.11091694235801697, 0.00596584239974618]","[0.2988409698009491, 0.258433997631073, 0.22267335653305054, 0.14327159523963928, 0.07367145270109177, 0.0031086013186722994]","[0.3229887783527374, 0.23788459599018097, 0.2239333540201187, 0.12344562262296677, 0.08933604508638382, 0.002411585533991456]","[0.34535086154937744, 0.30084657669067383, 0.23214101791381836, 0.0701422169804573, 0.04738393798470497, 0.004135381896048784]","[0.298805832862854, 0.2664468288421631, 0.20845909416675568, 0.15103700757026672, 0.07283633202314377, 0.0024148926604539156]","[0.2902444303035736, 0.28589722514152527, 0.23801106214523315, 0.0917467400431633, 0.09155672043561935, 0.0025438545271754265]","[0.28051117062568665, 0.2648168206214905, 0.2311156988143921, 0.12523922324180603, 0.09652021527290344, 0.0017969079781323671]","[0.2744746208190918, 0.2531334161758423, 0.2365022599697113, 0.1435590535402298, 0.08726100623607635, 0.00506964698433876]","[0.38170287013053894, 0.23505784571170807, 0.2094055861234665, 0.10134395211935043, 0.061185434460639954, 0.011304337531328201]","[0.3063926696777344, 0.2822190821170807, 0.2149273306131363, 0.12387508898973465, 0.07057691365480423, 0.002008794341236353]","[0.2930513322353363, 0.2696447968482971, 0.2329663187265396, 0.11647909879684448, 0.08509480953216553, 0.0027636464219540358]"
15,"[0.6599074006080627, 0.11402258276939392, 0.07584191858768463, 0.06703566014766693, 0.04515397921204567, 0.03803844004869461]","[0.8836392760276794, 0.03148353472352028, 0.02699558436870575, 0.02189960516989231, 0.019834065809845924, 0.01614789478480816]","[0.8449347019195557, 0.042628418654203415, 0.03932630643248558, 0.02828623540699482, 0.02561824582517147, 0.019206110388040543]","[0.9295744895935059, 0.017208151519298553, 0.016638711094856262, 0.015856130048632622, 0.011445656418800354, 0.009276818484067917]","[0.8796167373657227, 0.03629573434591293, 0.023581309244036674, 0.021670527756214142, 0.019747881218791008, 0.019087839871644974]","[0.8866159915924072, 0.031662460416555405, 0.027925774455070496, 0.02154938131570816, 0.020387567579746246, 0.011858757585287094]","[0.8523327708244324, 0.03925062716007233, 0.031694862991571426, 0.028305726125836372, 0.02462177351117134, 0.023794246837496758]","[0.8618670701980591, 0.034585095942020416, 0.032567743211984634, 0.029022950679063797, 0.0213802307844162, 0.020576881244778633]","[0.8740535378456116, 0.04181256890296936, 0.03347312659025192, 0.023657919839024544, 0.0157731045037508, 0.011229738593101501]","[0.8914624452590942, 0.02742346003651619, 0.024004174396395683, 0.023674003779888153, 0.02364451438188553, 0.009791414253413677]","[0.8734262585639954, 0.02968919835984707, 0.02871500700712204, 0.02371116355061531, 0.023526731878519058, 0.02093159593641758]"
16,"[0.511059045791626, 0.18078717589378357, 0.0747770443558693, 0.07199960201978683, 0.06648334860801697, 0.06441187858581543, 0.030481956899166107]","[0.28258171677589417, 0.18238167464733124, 0.1773422807455063, 0.12710140645503998, 0.09097406268119812, 0.0777340680360794, 0.06188475340604782]","[0.22551248967647552, 0.16377492249011993, 0.14990857243537903, 0.1416081190109253, 0.13517805933952332, 0.09276133030653, 0.0912565067410469]","[0.4949331283569336, 0.12447928637266159, 0.09939280897378922, 0.0987057089805603, 0.07690390944480896, 0.060487907379865646, 0.04509725794196129]","[0.20957931876182556, 0.1980961412191391, 0.19332042336463928, 0.14913618564605713, 0.0962943360209465, 0.08579293638467789, 0.06778067350387573]","[0.4103991687297821, 0.12496668845415115, 0.1135530024766922, 0.10864026099443436, 0.09783150255680084, 0.0783563181757927, 0.06625314056873322]","[0.4027605652809143, 0.13547492027282715, 0.10891664773225784, 0.10316762328147888, 0.10269927978515625, 0.07372340559959412, 0.07325754314661026]","[0.32887303829193115, 0.13988518714904785, 0.1383521556854248, 0.12274236977100372, 0.11598692089319229, 0.08035114407539368, 0.07380920648574829]","[0.5822316408157349, 0.09228263795375824, 0.0871879905462265, 0.07218693196773529, 0.06295949965715408, 0.06077757850289345, 0.04237374663352966]","[0.2752930819988251, 0.1848156452178955, 0.17207647860050201, 0.13242749869823456, 0.09065485000610352, 0.0906505212187767, 0.05408196523785591]","[0.3056548237800598, 0.18672923743724823, 0.14240145683288574, 0.12860457599163055, 0.10003916919231415, 0.07767147570848465, 0.05889929085969925]"
17,"[0.3169305622577667, 0.20059503614902496, 0.16339628398418427, 0.1609662026166916, 0.09622727334499359, 0.061884716153144836]","[0.34870457649230957, 0.26260074973106384, 0.15262044966220856, 0.12022371590137482, 0.05937627702951431, 0.056474197655916214]","[0.31121426820755005, 0.2885065972805023, 0.18420010805130005, 0.14688052237033844, 0.04815514758229256, 0.02104324661195278]","[0.4023509919643402, 0.23159298300743103, 0.12362101674079895, 0.10941597819328308, 0.08995112776756287, 0.043067991733551025]","[0.3153911828994751, 0.3139447271823883, 0.2016717940568924, 0.11815895140171051, 0.047052498906850815, 0.003780852071940899]","[0.35011160373687744, 0.2565693259239197, 0.18491701781749725, 0.13902364671230316, 0.0440358892083168, 0.025342535227537155]","[0.30484411120414734, 0.30376136302948, 0.1641688346862793, 0.15226390957832336, 0.0629291981458664, 0.012032580561935902]","[0.41847625374794006, 0.22830776870250702, 0.1627899408340454, 0.1382295936346054, 0.03686078265309334, 0.01533567439764738]","[0.4334152936935425, 0.22691921889781952, 0.09914670884609222, 0.09017807990312576, 0.07808222621679306, 0.07225847989320755]","[0.31896892189979553, 0.23830164968967438, 0.17432458698749542, 0.1380060315132141, 0.07881921529769897, 0.05157971382141113]","[0.39124807715415955, 0.23348389565944672, 0.1321377456188202, 0.09273258596658707, 0.08803044259548187, 0.062367234379053116]"
18,"[0.4351755678653717, 0.19215711951255798, 0.16489039361476898, 0.10573253780603409, 0.0570877306163311, 0.04495668783783913]","[0.47748246788978577, 0.17117685079574585, 0.15196192264556885, 0.0996168702840805, 0.06748133152723312, 0.03228053078055382]","[0.3946477770805359, 0.22531194984912872, 0.16762791574001312, 0.10022185742855072, 0.08939575403928757, 0.02279466576874256]","[0.5161383152008057, 0.18090637028217316, 0.13466815650463104, 0.09221887588500977, 0.07042563706636429, 0.005642720963805914]","[0.4044446349143982, 0.19655756652355194, 0.15446440875530243, 0.1361491084098816, 0.07954248040914536, 0.028841806575655937]","[0.4112565815448761, 0.2030855119228363, 0.1727418154478073, 0.12199065834283829, 0.07730834931135178, 0.013617148622870445]","[0.34203025698661804, 0.31408199667930603, 0.15710802376270294, 0.08774050325155258, 0.07945191115140915, 0.019587337970733643]","[0.28058725595474243, 0.238428995013237, 0.1835591346025467, 0.17904521524906158, 0.0985831618309021, 0.019796214997768402]","[0.3321109712123871, 0.26810044050216675, 0.20697328448295593, 0.09308914840221405, 0.08229610323905945, 0.0174300204962492]","[0.2891492247581482, 0.20846211910247803, 0.179173544049263, 0.15818887948989868, 0.15539337694644928, 0.009632794186472893]","[0.38691654801368713, 0.2265074998140335, 0.16581951081752777, 0.0999833196401596, 0.09546072036027908, 0.025312405079603195]"
19,"[0.3515975773334503, 0.17491503059864044, 0.1548381894826889, 0.1287952959537506, 0.09708192944526672, 0.09277193248271942]","[0.4139742851257324, 0.21755971014499664, 0.09648621082305908, 0.09500129520893097, 0.09049737453460693, 0.08648110926151276]","[0.32428258657455444, 0.20788036286830902, 0.13726603984832764, 0.11914874613285065, 0.10771247744560242, 0.10370982438325882]","[0.45872512459754944, 0.22602951526641846, 0.08256418257951736, 0.08025698363780975, 0.07626063376665115, 0.07616353034973145]","[0.4605710208415985, 0.18165774643421173, 0.16668914258480072, 0.08191080391407013, 0.05600927025079727, 0.053162042051553726]","[0.3629094660282135, 0.2673031985759735, 0.11912668496370316, 0.09568145871162415, 0.07778839766979218, 0.07719084620475769]","[0.25469839572906494, 0.2501530349254608, 0.17811039090156555, 0.16959905624389648, 0.07712441682815552, 0.07031465321779251]","[0.49955642223358154, 0.169453427195549, 0.10357867926359177, 0.08706243336200714, 0.07336924225091934, 0.06697978079319]","[0.37954336404800415, 0.21977850794792175, 0.14028875529766083, 0.11287115514278412, 0.0748874843120575, 0.07263080030679703]","[0.2606172263622284, 0.2414735108613968, 0.17627449333667755, 0.1414971500635147, 0.13449139893054962, 0.04564620926976204]","[0.42719757556915283, 0.2107848823070526, 0.1334974616765976, 0.08323440700769424, 0.07634428143501282, 0.06894132494926453]"
