,Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2,Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B,Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test,lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b,franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat,Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1,qwen-carpmuscle-v0.1 (Revised % Concordant)
77,A,0.1,C,0.2,A,0.3,D,0.3,E,0.1,B,0.2,A,0.2
78,E,0.3,E,0.2,A,0.4,E,0.1,E,0.1,C,0.2,C,0.1
79,B,0.3,A,0.2,A,0.2,B,0.3,E,0.1,B,0.2,B,0.3
80,E,0.2,A,0.2,B,0.2,E,0.1,E,0.1,D,0.4,A,0.2
81,E,0.4,A,0.4,C,0.2,C,0.3,E,0.1,B,0.3,C,0.2
82,B,0.2,A,0.4,E,0.1,E,0.2,F,0.1,C,0.3,F,0.1
83,E,0.3,E,0.3,B,0.2,C,0.1,E,0.2,E,0.2,A,0.3
84,C,0.2,E,0.4,E,0.1,E,0.1,F,0.1,F,0.2,D,0.2
85,D,0.1,A,0.1,A,0.1,B,0.1,E,0.2,E,0.1,E,0.3
86,E,0.3,A,0.2,D,0.1,E,0.3,E,0.1,D,0.2,D,0.2
87,D,0.2,A,0.3,D,0.2,D,0.1,A,0.2,B,0.1,C,0.1
88,E,0.2,C,0.2,D,0.2,E,0.1,B,0.2,C,0.2,C,0.1
89,A,0.3,A,0.2,B,0.2,C,0.3,D,0.2,A,0.3,A,0.2
90,D,0.2,A,0.2,D,0.2,B,0.2,D,0.1,B,0.3,D,0.2
91,C,0.2,E,0.2,B,0.2,B,0.3,E,0.1,D,0.2,E,0.1
92,D,0.3,B,0.3,C,0.1,C,0.2,E,0.1,E,0.2,A,0.1
93,E,0.1,D,0.1,C,0.1,E,0.1,E,0.1,D,0.2,C,0.1
94,A,0.2,E,0.2,A,0.3,E,0.3,A,0.1,B,0.2,C,0.2
