,Correct Answer,Rombos-LLM-V2.5-Qwen-32b-scores,Rombos-LLM-V2.5-Qwen-32b-scores (Revised % Concordant),oxyge1-33B-scores,oxyge1-33B-scores (Revised % Concordant),Lamarck-14B-v0.6,Lamarck-14B-v0.6 (Revised % Concordant),ultiima-32B-scores,ultiima-32B-scores (Revised % Concordant),TheBeagle-v2beta-32B-MGS-scores,TheBeagle-v2beta-32B-MGS-scores (Revised % Concordant),Qwentile2.5-32B-Instruct-scores,Qwentile2.5-32B-Instruct-scores (Revised % Concordant)
20,B,D,0.5,E,0.25,A,0.5,B,0.25,E,0.25,D,0.5
21,D,A,0.25,E,0.75,E,0.25,E,0.5,A,0.5,D,0.5
22,C,A,0.5,F,0.25,F,0.5,C,0.25,C,0.5,E,0.25
23,B,C,0.25,A,0.25,B,0.5,B,0.25,B,0.25,A,0.25
24,D,C,0.25,E,0.5,A,0.25,B,0.5,C,0.5,B,0.5
25,D,C,0.25,E,0.5,D,0.25,D,0.25,E,0.5,A,0.5
26,E,D,0.5,E,0.5,C,0.25,E,0.5,A,0.5,B,0.5
27,D,A,0.5,E,0.25,E,0.25,D,0.75,C,0.5,A,0.75
28,A,D,0.25,E,0.25,A,0.25,A,0.5,B,0.75,D,0.5
29,C,A,0.5,E,0.25,E,0.5,E,0.5,E,0.75,B,0.25
30,D,D,0.5,E,0.5,D,0.5,E,0.5,E,0.25,A,0.25
31,E,A,0.5,E,0.5,E,0.25,E,0.25,B,0.25,A,0.5
32,B,B,0.5,F,0.25,F,0.25,F,0.5,F,0.5,D,0.5
33,B,D,0.5,E,0.25,A,0.25,E,0.5,E,0.25,A,0.5
34,A,D,0.5,D,0.5,E,0.5,E,0.25,A,0.25,A,0.75
35,C,C,0.25,E,0.75,D,0.5,A,0.25,E,0.75,D,0.25
36,C,A,0.75,E,0.25,D,0.75,E,0.5,E,0.5,D,0.5
37,B,B,0.75,E,0.25,B,0.5,B,0.75,E,0.5,C,0.5
38,A,A,0.25,E,0.25,C,0.25,E,0.25,E,0.25,A,0.5
39,A,D,0.25,E,0.5,C,0.25,E,0.5,B,0.25,D,0.75
40,B,C,0.75,E,0.25,D,0.25,D,0.75,D,0.5,D,0.75
41,D,A,0.25,D,0.5,D,0.5,C,0.25,D,0.25,B,0.5
42,B,C,0.75,E,0.75,D,0.5,E,0.25,E,0.25,A,0.5
43,B,D,0.25,E,0.5,A,0.5,A,0.5,D,0.5,E,0.25
44,E,A,0.25,E,0.25,D,0.25,B,0.25,E,0.5,A,0.25
45,D,E,0.5,B,0.75,E,1.0,D,0.25,D,0.5,C,0.25
46,C,D,0.25,E,0.5,E,0.5,D,0.25,C,0.25,D,0.25
47,E,C,0.5,E,0.75,A,0.25,E,0.5,E,0.75,C,0.25
48,E,A,0.5,D,0.5,D,0.25,E,0.25,E,0.5,D,0.75
49,D,B,0.25,B,0.25,D,0.5,D,0.25,D,0.5,B,0.5
50,A,C,0.25,A,0.75,A,0.5,D,0.5,A,0.5,B,0.5
51,B,A,0.25,E,0.25,B,0.25,B,0.75,B,0.75,C,0.5
52,C,C,0.5,B,0.5,E,0.25,E,0.25,A,0.5,C,0.5
53,C,C,0.25,E,0.5,B,0.25,A,0.25,E,0.25,C,0.25
54,C,C,0.5,E,0.5,E,0.5,C,0.5,C,0.25,B,0.5
55,A,C,0.25,E,0.5,A,0.75,B,0.5,A,0.25,D,0.5
56,A,B,0.25,E,0.75,E,1.0,C,0.25,C,0.25,E,0.5
57,A,B,0.25,D,0.5,D,0.25,C,0.5,E,0.25,E,0.5
58,E,C,1.0,E,0.25,D,0.5,C,0.5,C,0.75,D,0.75
59,C,C,0.25,E,0.5,E,0.25,A,0.25,E,0.5,C,0.25
60,D,A,0.5,C,0.25,D,0.25,E,0.25,E,0.25,C,0.5
61,C,B,0.25,E,0.5,F,0.5,F,0.75,F,0.75,A,0.25
62,E,D,0.25,A,0.5,E,0.5,E,0.25,E,0.5,D,0.25
63,D,A,0.75,E,0.5,E,0.25,D,0.5,B,0.75,B,0.25
64,D,B,0.25,E,0.25,E,0.25,C,0.5,E,0.75,A,0.75
65,B,C,0.5,E,0.75,B,0.5,A,0.75,E,0.25,C,0.25
66,C,A,0.5,E,0.5,A,0.5,E,0.75,A,0.25,B,0.25
67,C,C,0.75,D,0.75,C,0.5,G,0.5,B,0.75,G,0.5
68,A,C,0.25,A,0.5,E,0.75,E,0.5,E,0.25,A,0.25
69,D,B,0.5,E,0.5,E,0.25,E,0.5,E,0.5,B,0.25
70,C,D,0.75,E,0.5,D,0.5,C,0.75,C,0.25,B,0.5
71,D,C,0.75,H,0.25,D,0.5,D,0.5,D,0.75,E,0.5
72,C,A,0.25,E,0.5,E,0.75,D,0.5,E,0.5,A,0.25
73,D,C,0.5,E,0.5,A,0.25,B,0.5,E,0.5,C,0.5
74,E,B,0.25,E,0.5,E,0.5,E,0.5,A,0.5,B,0.25
75,B,A,0.75,D,0.25,D,0.5,D,0.5,B,0.5,C,0.5
76,B,C,0.5,G,0.75,G,0.25,G,0.5,G,0.5,E,0.5
77,E,C,0.5,E,0.5,E,0.25,E,0.5,E,0.5,C,0.25
78,E,D,0.25,E,0.25,B,0.5,E,0.75,E,0.25,B,0.25
79,D,C,0.5,E,0.25,E,0.5,E,0.25,E,0.5,C,0.5
80,E,A,0.75,C,0.25,E,0.25,E,0.5,A,0.5,A,0.25
81,A,B,0.25,E,0.5,E,0.5,E,0.5,E,0.5,D,0.5
82,E,A,0.5,F,0.5,F,0.5,F,0.5,E,0.5,A,0.5
83,C,D,0.25,D,0.5,D,0.25,E,0.25,E,0.5,D,0.5
84,E,E,0.5,F,0.25,F,0.75,B,0.25,F,0.5,E,0.75
85,B,B,0.5,E,0.25,D,0.25,E,0.25,A,0.5,C,0.25
86,D,D,0.25,E,0.25,D,0.25,A,0.25,B,0.5,A,0.25
87,D,B,0.5,E,0.5,E,0.25,D,0.25,D,0.5,B,0.5
88,E,C,0.25,E,0.25,B,0.25,E,0.5,B,0.75,D,0.5
89,B,C,0.5,D,0.25,B,0.5,B,0.5,A,0.5,C,0.25
90,F,E,0.25,F,0.5,A,0.5,F,0.5,F,0.75,D,0.5
91,A,A,0.75,E,0.25,E,0.25,B,0.5,E,0.25,D,0.75
92,E,C,0.25,A,0.5,E,0.75,E,0.5,E,0.25,C,0.25
93,A,A,0.5,E,0.5,E,0.5,E,0.5,E,0.25,D,0.25
94,D,A,0.5,E,0.25,E,0.5,E,0.25,E,0.75,D,0.5
